"cumulative_recovered","date_recovered","province","recovered"
0,"12-02-2020","Alberta",0
0,"13-02-2020","Alberta",0
0,"14-02-2020","Alberta",0
0,"15-02-2020","Alberta",0
0,"16-02-2020","Alberta",0
0,"17-02-2020","Alberta",0
0,"18-02-2020","Alberta",0
0,"19-02-2020","Alberta",0
0,"20-02-2020","Alberta",0
0,"21-02-2020","Alberta",0
0,"22-02-2020","Alberta",0
0,"23-02-2020","Alberta",0
0,"24-02-2020","Alberta",0
0,"25-02-2020","Alberta",0
0,"26-02-2020","Alberta",0
0,"27-02-2020","Alberta",0
0,"28-02-2020","Alberta",0
0,"29-02-2020","Alberta",0
0,"01-03-2020","Alberta",0
0,"02-03-2020","Alberta",0
0,"03-03-2020","Alberta",0
0,"04-03-2020","Alberta",0
0,"05-03-2020","Alberta",0
0,"06-03-2020","Alberta",0
0,"07-03-2020","Alberta",0
0,"08-03-2020","Alberta",0
0,"09-03-2020","Alberta",0
0,"10-03-2020","Alberta",0
0,"11-03-2020","Alberta",0
0,"12-03-2020","Alberta",0
0,"13-03-2020","Alberta",0
0,"14-03-2020","Alberta",0
0,"15-03-2020","Alberta",0
0,"16-03-2020","Alberta",0
0,"17-03-2020","Alberta",0
0,"18-03-2020","Alberta",0
2,"19-03-2020","Alberta",2
3,"20-03-2020","Alberta",1
3,"21-03-2020","Alberta",0
3,"22-03-2020","Alberta",0
3,"23-03-2020","Alberta",0
3,"24-03-2020","Alberta",0
3,"25-03-2020","Alberta",0
27,"26-03-2020","Alberta",24
33,"27-03-2020","Alberta",6
53,"28-03-2020","Alberta",20
73,"29-03-2020","Alberta",20
94,"30-03-2020","Alberta",21
120,"31-03-2020","Alberta",26
142,"01-04-2020","Alberta",22
174,"02-04-2020","Alberta",32
196,"03-04-2020","Alberta",22
196,"04-04-2020","Alberta",0
279,"05-04-2020","Alberta",83
361,"06-04-2020","Alberta",82
447,"07-04-2020","Alberta",86
519,"08-04-2020","Alberta",72
592,"09-04-2020","Alberta",73
713,"10-04-2020","Alberta",121
774,"11-04-2020","Alberta",61
823,"12-04-2020","Alberta",49
877,"13-04-2020","Alberta",54
914,"14-04-2020","Alberta",37
914,"15-04-2020","Alberta",0
914,"16-04-2020","Alberta",0
1124,"17-04-2020","Alberta",210
1162,"18-04-2020","Alberta",38
1198,"19-04-2020","Alberta",36
1230,"20-04-2020","Alberta",32
1273,"21-04-2020","Alberta",43
1310,"22-04-2020","Alberta",37
1357,"23-04-2020","Alberta",47
1397,"24-04-2020","Alberta",40
1471,"25-04-2020","Alberta",74
1549,"26-04-2020","Alberta",78
1664,"27-04-2020","Alberta",115
1800,"28-04-2020","Alberta",136
1953,"29-04-2020","Alberta",153
2161,"30-04-2020","Alberta",208
2359,"01-05-2020","Alberta",198
2534,"02-05-2020","Alberta",175
2713,"03-05-2020","Alberta",179
2942,"04-05-2020","Alberta",229
3219,"05-05-2020","Alberta",277
3552,"06-05-2020","Alberta",333
3809,"07-05-2020","Alberta",257
4020,"08-05-2020","Alberta",211
4204,"09-05-2020","Alberta",184
4389,"10-05-2020","Alberta",185
4659,"11-05-2020","Alberta",270
4866,"12-05-2020","Alberta",207
5076,"13-05-2020","Alberta",210
5205,"14-05-2020","Alberta",129
5317,"15-05-2020","Alberta",112
5377,"16-05-2020","Alberta",60
5453,"17-05-2020","Alberta",76
5519,"18-05-2020","Alberta",66
5584,"19-05-2020","Alberta",65
5637,"20-05-2020","Alberta",53
5710,"21-05-2020","Alberta",73
5801,"22-05-2020","Alberta",91
5869,"23-05-2020","Alberta",68
5924,"24-05-2020","Alberta",55
5979,"25-05-2020","Alberta",55
6048,"26-05-2020","Alberta",69
6106,"27-05-2020","Alberta",58
6160,"28-05-2020","Alberta",54
6220,"29-05-2020","Alberta",60
6245,"30-05-2020","Alberta",25
6283,"31-05-2020","Alberta",38
6501,"01-06-2020","Alberta",218
6537,"02-06-2020","Alberta",36
6587,"03-06-2020","Alberta",50
6611,"04-06-2020","Alberta",24
6624,"05-06-2020","Alberta",13
6656,"06-06-2020","Alberta",32
6656,"07-06-2020","Alberta",0
6698,"08-06-2020","Alberta",42
6722,"09-06-2020","Alberta",24
6754,"10-06-2020","Alberta",32
6788,"11-06-2020","Alberta",34
6811,"12-06-2020","Alberta",23
6830,"13-06-2020","Alberta",19
6861,"14-06-2020","Alberta",31
6862,"15-06-2020","Alberta",1
6882,"16-06-2020","Alberta",20
6893,"17-06-2020","Alberta",11
6938,"18-06-2020","Alberta",45
6961,"19-06-2020","Alberta",23
6996,"20-06-2020","Alberta",35
7018,"21-06-2020","Alberta",22
7041,"22-06-2020","Alberta",23
7096,"23-06-2020","Alberta",55
7134,"24-06-2020","Alberta",38
7191,"25-06-2020","Alberta",57
7225,"26-06-2020","Alberta",34
7283,"27-06-2020","Alberta",58
7322,"28-06-2020","Alberta",39
7354,"29-06-2020","Alberta",32
7405,"30-06-2020","Alberta",51
7405,"01-07-2020","Alberta",0
7505,"02-07-2020","Alberta",100
7532,"03-07-2020","Alberta",27
7532,"04-07-2020","Alberta",0
7532,"05-07-2020","Alberta",0
7627,"06-07-2020","Alberta",95
7659,"07-07-2020","Alberta",32
7716,"08-07-2020","Alberta",57
7774,"09-07-2020","Alberta",58
7844,"10-07-2020","Alberta",70
7844,"11-07-2020","Alberta",0
7844,"12-07-2020","Alberta",0
7989,"13-07-2020","Alberta",145
8048,"14-07-2020","Alberta",59
8127,"15-07-2020","Alberta",79
8142,"16-07-2020","Alberta",15
8193,"17-07-2020","Alberta",51
8193,"18-07-2020","Alberta",0
8193,"19-07-2020","Alberta",0
8308,"20-07-2020","Alberta",115
8363,"21-07-2020","Alberta",55
8436,"22-07-2020","Alberta",73
8506,"23-07-2020","Alberta",70
8567,"24-07-2020","Alberta",61
8567,"25-07-2020","Alberta",0
8567,"26-07-2020","Alberta",0
8774,"27-07-2020","Alberta",207
8886,"28-07-2020","Alberta",112
8983,"29-07-2020","Alberta",97
9113,"30-07-2020","Alberta",130
9261,"31-07-2020","Alberta",148
9261,"01-08-2020","Alberta",0
9261,"02-08-2020","Alberta",0
9261,"03-08-2020","Alberta",0
9754,"04-08-2020","Alberta",493
9891,"05-08-2020","Alberta",137
9984,"06-08-2020","Alberta",93
10097,"07-08-2020","Alberta",113
10097,"08-08-2020","Alberta",0
10097,"09-08-2020","Alberta",0
10384,"10-08-2020","Alberta",287
10552,"11-08-2020","Alberta",168
10632,"12-08-2020","Alberta",80
10713,"13-08-2020","Alberta",81
10796,"14-08-2020","Alberta",83
10796,"15-08-2020","Alberta",0
10796,"16-08-2020","Alberta",0
11056,"17-08-2020","Alberta",260
11025,"18-08-2020","Alberta",-31
11167,"19-08-2020","Alberta",142
11292,"20-08-2020","Alberta",125
11374,"21-08-2020","Alberta",82
11374,"22-08-2020","Alberta",0
11374,"23-08-2020","Alberta",0
11600,"24-08-2020","Alberta",226
11714,"25-08-2020","Alberta",114
11799,"26-08-2020","Alberta",85
11923,"27-08-2020","Alberta",124
12054,"28-08-2020","Alberta",131
12054,"29-08-2020","Alberta",0
12054,"30-08-2020","Alberta",0
12293,"31-08-2020","Alberta",239
12427,"01-09-2020","Alberta",134
12535,"02-09-2020","Alberta",108
12653,"03-09-2020","Alberta",118
12799,"04-09-2020","Alberta",146
12799,"05-09-2020","Alberta",0
12799,"06-09-2020","Alberta",0
12799,"07-09-2020","Alberta",0
13154,"08-09-2020","Alberta",355
13358,"09-09-2020","Alberta",204
13557,"10-09-2020","Alberta",199
13718,"11-09-2020","Alberta",161
13718,"12-09-2020","Alberta",0
13718,"13-09-2020","Alberta",0
14041,"14-09-2020","Alberta",323
14212,"15-09-2020","Alberta",171
14379,"16-09-2020","Alberta",167
14537,"17-09-2020","Alberta",158
14702,"18-09-2020","Alberta",165
14702,"19-09-2020","Alberta",0
14702,"20-09-2020","Alberta",0
15024,"21-09-2020","Alberta",322
15066,"22-09-2020","Alberta",42
15252,"23-09-2020","Alberta",186
15467,"24-09-2020","Alberta",215
15585,"25-09-2020","Alberta",118
15585,"26-09-2020","Alberta",0
15585,"27-09-2020","Alberta",0
15935,"28-09-2020","Alberta",350
16072,"29-09-2020","Alberta",137
16213,"30-09-2020","Alberta",141
16370,"01-10-2020","Alberta",157
16527,"02-10-2020","Alberta",157
16527,"03-10-2020","Alberta",0
16527,"04-10-2020","Alberta",0
16872,"05-10-2020","Alberta",345
17030,"06-10-2020","Alberta",158
17163,"07-10-2020","Alberta",133
17338,"08-10-2020","Alberta",175
17488,"09-10-2020","Alberta",150
17488,"10-10-2020","Alberta",0
17488,"11-10-2020","Alberta",0
17488,"12-10-2020","Alberta",0
18055,"13-10-2020","Alberta",567
18223,"14-10-2020","Alberta",168
18417,"15-10-2020","Alberta",194
18651,"16-10-2020","Alberta",234
18651,"17-10-2020","Alberta",0
18651,"18-10-2020","Alberta",0
19243,"19-10-2020","Alberta",592
19500,"20-10-2020","Alberta",257
19734,"21-10-2020","Alberta",234
20014,"22-10-2020","Alberta",280
20310,"23-10-2020","Alberta",296
20310,"24-10-2020","Alberta",0
20310,"25-10-2020","Alberta",0
20949,"26-10-2020","Alberta",639
21108,"27-10-2020","Alberta",159
21459,"28-10-2020","Alberta",351
21803,"29-10-2020","Alberta",344
22169,"30-10-2020","Alberta",366
22169,"31-10-2020","Alberta",0
22169,"01-11-2020","Alberta",0
22169,"02-11-2020","Alberta",0
23484,"03-11-2020","Alberta",1315
23874,"04-11-2020","Alberta",390
23874,"05-11-2020","Alberta",0
24684,"06-11-2020","Alberta",810
24684,"07-11-2020","Alberta",0
24684,"08-11-2020","Alberta",0
25826,"09-11-2020","Alberta",1142
26407,"10-11-2020","Alberta",581
26407,"11-11-2020","Alberta",0
27707,"12-11-2020","Alberta",1300
28321,"13-11-2020","Alberta",614
28321,"14-11-2020","Alberta",0
28321,"15-11-2020","Alberta",0
29731,"16-11-2020","Alberta",1410
30462,"17-11-2020","Alberta",731
31192,"18-11-2020","Alberta",730
31964,"19-11-2020","Alberta",772
32835,"20-11-2020","Alberta",871
33543,"21-11-2020","Alberta",708
34206,"22-11-2020","Alberta",663
34779,"23-11-2020","Alberta",573
35695,"24-11-2020","Alberta",916
36582,"25-11-2020","Alberta",887
37316,"26-11-2020","Alberta",734
38369,"27-11-2020","Alberta",1053
39381,"28-11-2020","Alberta",1012
40219,"29-11-2020","Alberta",838
41182,"30-11-2020","Alberta",963
42305,"01-12-2020","Alberta",1123
43464,"02-12-2020","Alberta",1159
44705,"03-12-2020","Alberta",1241
46018,"04-12-2020","Alberta",1313
47328,"05-12-2020","Alberta",1310
48467,"06-12-2020","Alberta",1139
49603,"07-12-2020","Alberta",1136
51000,"08-12-2020","Alberta",1397
52636,"09-12-2020","Alberta",1636
54225,"10-12-2020","Alberta",1589
55947,"11-12-2020","Alberta",1722
57613,"12-12-2020","Alberta",1666
58818,"13-12-2020","Alberta",1205
60130,"14-12-2020","Alberta",1312
61934,"15-12-2020","Alberta",1804
63668,"16-12-2020","Alberta",1734
65513,"17-12-2020","Alberta",1845
67159,"18-12-2020","Alberta",1646
68832,"19-12-2020","Alberta",1673
70167,"20-12-2020","Alberta",1335
71434,"21-12-2020","Alberta",1267
73298,"22-12-2020","Alberta",1864
75070,"23-12-2020","Alberta",1772
75070,"24-12-2020","Alberta",0
75070,"25-12-2020","Alberta",0
75070,"26-12-2020","Alberta",0
75070,"27-12-2020","Alberta",0
81780,"28-12-2020","Alberta",6710
83328,"29-12-2020","Alberta",1548
84827,"30-12-2020","Alberta",1499
84827,"31-12-2020","Alberta",0
84827,"01-01-2021","Alberta",0
84827,"02-01-2021","Alberta",0
84827,"03-01-2021","Alberta",0
90554,"04-01-2021","Alberta",5727
91799,"05-01-2021","Alberta",1245
92858,"06-01-2021","Alberta",1059
93954,"07-01-2021","Alberta",1096
94783,"08-01-2021","Alberta",829
94932,"09-01-2021","Alberta",149
96052,"10-01-2021","Alberta",1120
96867,"11-01-2021","Alberta",815
98178,"12-01-2021","Alberta",1311
99412,"13-01-2021","Alberta",1234
100762,"14-01-2021","Alberta",1350
101779,"15-01-2021","Alberta",1017
101957,"16-01-2021","Alberta",178
103167,"17-01-2021","Alberta",1210
103941,"18-01-2021","Alberta",774
105208,"19-01-2021","Alberta",1267
106387,"20-01-2021","Alberta",1179
107358,"21-01-2021","Alberta",971
0,"12-02-2020","BC",0
0,"13-02-2020","BC",0
0,"14-02-2020","BC",0
0,"15-02-2020","BC",0
0,"16-02-2020","BC",0
0,"17-02-2020","BC",0
0,"18-02-2020","BC",0
1,"19-02-2020","BC",1
1,"20-02-2020","BC",0
1,"21-02-2020","BC",0
1,"22-02-2020","BC",0
1,"23-02-2020","BC",0
1,"24-02-2020","BC",0
4,"25-02-2020","BC",3
4,"26-02-2020","BC",0
4,"27-02-2020","BC",0
4,"28-02-2020","BC",0
4,"29-02-2020","BC",0
4,"01-03-2020","BC",0
4,"02-03-2020","BC",0
4,"03-03-2020","BC",0
4,"04-03-2020","BC",0
4,"05-03-2020","BC",0
4,"06-03-2020","BC",0
4,"07-03-2020","BC",0
4,"08-03-2020","BC",0
4,"09-03-2020","BC",0
4,"10-03-2020","BC",0
4,"11-03-2020","BC",0
4,"12-03-2020","BC",0
5,"13-03-2020","BC",1
5,"14-03-2020","BC",0
5,"15-03-2020","BC",0
5,"16-03-2020","BC",0
5,"17-03-2020","BC",0
5,"18-03-2020","BC",0
5,"19-03-2020","BC",0
6,"20-03-2020","BC",1
6,"21-03-2020","BC",0
6,"22-03-2020","BC",0
100,"23-03-2020","BC",94
173,"24-03-2020","BC",73
183,"25-03-2020","BC",10
186,"26-03-2020","BC",3
275,"27-03-2020","BC",89
396,"28-03-2020","BC",121
396,"29-03-2020","BC",0
469,"30-03-2020","BC",73
507,"31-03-2020","BC",38
606,"01-04-2020","BC",99
641,"02-04-2020","BC",35
673,"03-04-2020","BC",32
704,"04-04-2020","BC",31
704,"05-04-2020","BC",0
783,"06-04-2020","BC",79
805,"07-04-2020","BC",22
838,"08-04-2020","BC",33
858,"09-04-2020","BC",20
879,"10-04-2020","BC",21
905,"11-04-2020","BC",26
905,"12-04-2020","BC",0
926,"13-04-2020","BC",21
942,"14-04-2020","BC",16
955,"15-04-2020","BC",13
966,"16-04-2020","BC",11
966,"17-04-2020","BC",0
987,"18-04-2020","BC",21
987,"19-04-2020","BC",0
1039,"20-04-2020","BC",52
1041,"21-04-2020","BC",2
1079,"22-04-2020","BC",38
1092,"23-04-2020","BC",13
1114,"24-04-2020","BC",22
1137,"25-04-2020","BC",23
1137,"26-04-2020","BC",0
1190,"27-04-2020","BC",53
1231,"28-04-2020","BC",41
1305,"29-04-2020","BC",74
1322,"30-04-2020","BC",17
1357,"01-05-2020","BC",35
1376,"02-05-2020","BC",19
1376,"03-05-2020","BC",0
1417,"04-05-2020","BC",41
1472,"05-05-2020","BC",55
1494,"06-05-2020","BC",22
1512,"07-05-2020","BC",18
1579,"08-05-2020","BC",67
1659,"09-05-2020","BC",80
1659,"10-05-2020","BC",0
1719,"11-05-2020","BC",60
1832,"12-05-2020","BC",113
1859,"13-05-2020","BC",27
1885,"14-05-2020","BC",26
1908,"15-05-2020","BC",23
1932,"16-05-2020","BC",24
1932,"17-05-2020","BC",0
1966,"18-05-2020","BC",34
1975,"19-05-2020","BC",9
2001,"20-05-2020","BC",26
2020,"21-05-2020","BC",19
2042,"22-05-2020","BC",22
2057,"23-05-2020","BC",15
2057,"24-05-2020","BC",0
2102,"25-05-2020","BC",45
2122,"26-05-2020","BC",20
2144,"27-05-2020","BC",22
2153,"28-05-2020","BC",9
2170,"29-05-2020","BC",17
2181,"30-05-2020","BC",11
2181,"31-05-2020","BC",0
2207,"01-06-2020","BC",26
2229,"02-06-2020","BC",22
2243,"03-06-2020","BC",14
2265,"04-06-2020","BC",22
2272,"05-06-2020","BC",7
2272,"06-06-2020","BC",0
2272,"07-06-2020","BC",0
2309,"08-06-2020","BC",37
2319,"09-06-2020","BC",10
2328,"10-06-2020","BC",9
2344,"11-06-2020","BC",16
2354,"12-06-2020","BC",10
2354,"13-06-2020","BC",0
2354,"14-06-2020","BC",0
2395,"15-06-2020","BC",41
2416,"16-06-2020","BC",21
2422,"17-06-2020","BC",6
2425,"18-06-2020","BC",3
2444,"19-06-2020","BC",19
2444,"20-06-2020","BC",0
2444,"21-06-2020","BC",0
2471,"22-06-2020","BC",27
2491,"23-06-2020","BC",20
2516,"24-06-2020","BC",25
2517,"25-06-2020","BC",1
2545,"26-06-2020","BC",28
2545,"27-06-2020","BC",0
2545,"28-06-2020","BC",0
2577,"29-06-2020","BC",32
2590,"30-06-2020","BC",13
2590,"01-07-2020","BC",0
2603,"02-07-2020","BC",13
2608,"03-07-2020","BC",5
2608,"04-07-2020","BC",0
2608,"05-07-2020","BC",0
2629,"06-07-2020","BC",21
2645,"07-07-2020","BC",16
2660,"08-07-2020","BC",15
2667,"09-07-2020","BC",7
2679,"10-07-2020","BC",12
2679,"11-07-2020","BC",0
2679,"12-07-2020","BC",0
2718,"13-07-2020","BC",39
2730,"14-07-2020","BC",12
2753,"15-07-2020","BC",23
2789,"16-07-2020","BC",36
2802,"17-07-2020","BC",13
2802,"18-07-2020","BC",0
2802,"19-07-2020","BC",0
2858,"20-07-2020","BC",56
2873,"21-07-2020","BC",15
2888,"22-07-2020","BC",15
2898,"23-07-2020","BC",10
2934,"24-07-2020","BC",36
2934,"25-07-2020","BC",0
2934,"26-07-2020","BC",0
3043,"27-07-2020","BC",109
3076,"28-07-2020","BC",33
3109,"29-07-2020","BC",33
3155,"30-07-2020","BC",46
3168,"31-07-2020","BC",13
3168,"01-08-2020","BC",0
3168,"02-08-2020","BC",0
3168,"03-08-2020","BC",0
3273,"04-08-2020","BC",105
3288,"05-08-2020","BC",15
3315,"06-08-2020","BC",27
3353,"07-08-2020","BC",38
3353,"08-08-2020","BC",0
3353,"09-08-2020","BC",0
3425,"10-08-2020","BC",72
3444,"11-08-2020","BC",19
3469,"12-08-2020","BC",25
3500,"13-08-2020","BC",31
3533,"14-08-2020","BC",33
3533,"15-08-2020","BC",0
3533,"16-08-2020","BC",0
3653,"17-08-2020","BC",120
3704,"18-08-2020","BC",51
3749,"19-08-2020","BC",45
3845,"20-08-2020","BC",96
3889,"21-08-2020","BC",44
3889,"22-08-2020","BC",0
3889,"23-08-2020","BC",0
4068,"24-08-2020","BC",179
4114,"25-08-2020","BC",46
4199,"26-08-2020","BC",85
4253,"27-08-2020","BC",54
4310,"28-08-2020","BC",57
4310,"29-08-2020","BC",0
4310,"30-08-2020","BC",0
4406,"31-08-2020","BC",96
4505,"01-09-2020","BC",99
4605,"02-09-2020","BC",100
4644,"03-09-2020","BC",39
4706,"04-09-2020","BC",62
4706,"05-09-2020","BC",0
4706,"06-09-2020","BC",0
4706,"07-09-2020","BC",0
4978,"08-09-2020","BC",272
5086,"09-09-2020","BC",108
5190,"10-09-2020","BC",104
5273,"11-09-2020","BC",83
5273,"12-09-2020","BC",0
5273,"13-09-2020","BC",0
5446,"14-09-2020","BC",173
5548,"15-09-2020","BC",102
5646,"16-09-2020","BC",98
5719,"17-09-2020","BC",73
5797,"18-09-2020","BC",78
5797,"19-09-2020","BC",0
5797,"20-09-2020","BC",0
5972,"21-09-2020","BC",175
6589,"22-09-2020","BC",617
6769,"23-09-2020","BC",180
6917,"24-09-2020","BC",148
7036,"25-09-2020","BC",119
7036,"26-09-2020","BC",0
7036,"27-09-2020","BC",0
7346,"28-09-2020","BC",310
7485,"29-09-2020","BC",139
7591,"30-09-2020","BC",106
7695,"01-10-2020","BC",104
7813,"02-10-2020","BC",118
7813,"03-10-2020","BC",0
7813,"04-10-2020","BC",0
8115,"05-10-2020","BC",302
8184,"06-10-2020","BC",69
8296,"07-10-2020","BC",112
8398,"08-10-2020","BC",102
8502,"09-10-2020","BC",104
8502,"10-10-2020","BC",0
8502,"11-10-2020","BC",0
8502,"12-10-2020","BC",0
8974,"13-10-2020","BC",472
9112,"14-10-2020","BC",138
9257,"15-10-2020","BC",145
9387,"16-10-2020","BC",130
9387,"17-10-2020","BC",0
9387,"18-10-2020","BC",0
9753,"19-10-2020","BC",366
9871,"20-10-2020","BC",118
9993,"21-10-2020","BC",122
10114,"22-10-2020","BC",121
10247,"23-10-2020","BC",133
10247,"24-10-2020","BC",0
10247,"25-10-2020","BC",0
10734,"26-10-2020","BC",487
10954,"27-10-2020","BC",220
11244,"28-10-2020","BC",290
11448,"29-10-2020","BC",204
11670,"30-10-2020","BC",222
11670,"31-10-2020","BC",0
11670,"01-11-2020","BC",0
12207,"02-11-2020","BC",537
12430,"03-11-2020","BC",223
12659,"04-11-2020","BC",229
12806,"05-11-2020","BC",147
13035,"06-11-2020","BC",229
13035,"07-11-2020","BC",0
13035,"08-11-2020","BC",0
13425,"09-11-2020","BC",390
13704,"10-11-2020","BC",279
13704,"11-11-2020","BC",0
14089,"12-11-2020","BC",385
14901,"13-11-2020","BC",812
14901,"14-11-2020","BC",0
14901,"15-11-2020","BC",0
16087,"16-11-2020","BC",1186
16469,"17-11-2020","BC",382
16914,"18-11-2020","BC",445
17207,"19-11-2020","BC",293
17477,"20-11-2020","BC",270
17477,"21-11-2020","BC",0
17477,"22-11-2020","BC",0
19069,"23-11-2020","BC",1592
19605,"24-11-2020","BC",536
19814,"25-11-2020","BC",209
19998,"26-11-2020","BC",184
21304,"27-11-2020","BC",1306
21304,"28-11-2020","BC",0
21304,"29-11-2020","BC",0
23111,"30-11-2020","BC",1807
23774,"01-12-2020","BC",663
24424,"02-12-2020","BC",650
24928,"03-12-2020","BC",504
25658,"04-12-2020","BC",730
25658,"05-12-2020","BC",0
25658,"06-12-2020","BC",0
27287,"07-12-2020","BC",1629
27897,"08-12-2020","BC",610
28448,"09-12-2020","BC",551
28948,"10-12-2020","BC",500
29598,"11-12-2020","BC",650
29598,"12-12-2020","BC",0
29598,"13-12-2020","BC",0
31207,"14-12-2020","BC",1609
31866,"15-12-2020","BC",659
32376,"16-12-2020","BC",510
32963,"17-12-2020","BC",587
33589,"18-12-2020","BC",626
33589,"19-12-2020","BC",0
33589,"20-12-2020","BC",0
35455,"21-12-2020","BC",1866
36094,"22-12-2020","BC",639
36952,"23-12-2020","BC",858
37784,"24-12-2020","BC",832
37784,"25-12-2020","BC",0
37784,"26-12-2020","BC",0
37784,"27-12-2020","BC",0
37784,"28-12-2020","BC",0
41175,"29-12-2020","BC",3391
41681,"30-12-2020","BC",506
42129,"31-12-2020","BC",448
42129,"01-01-2021","BC",0
42129,"02-01-2021","BC",0
42129,"03-01-2021","BC",0
45229,"04-01-2021","BC",3100
45999,"05-01-2021","BC",770
46728,"06-01-2021","BC",729
47374,"07-01-2021","BC",646
48205,"08-01-2021","BC",831
48205,"09-01-2021","BC",0
48205,"10-01-2021","BC",0
50541,"11-01-2021","BC",2336
51144,"12-01-2021","BC",603
51893,"13-01-2021","BC",749
52605,"14-01-2021","BC",712
53115,"15-01-2021","BC",510
53115,"16-01-2021","BC",0
53115,"17-01-2021","BC",0
54656,"18-01-2021","BC",1541
55099,"19-01-2021","BC",443
55564,"20-01-2021","BC",465
56010,"21-01-2021","BC",446
0,"12-02-2020","Manitoba",0
0,"13-02-2020","Manitoba",0
0,"14-02-2020","Manitoba",0
0,"15-02-2020","Manitoba",0
0,"16-02-2020","Manitoba",0
0,"17-02-2020","Manitoba",0
0,"18-02-2020","Manitoba",0
0,"19-02-2020","Manitoba",0
0,"20-02-2020","Manitoba",0
0,"21-02-2020","Manitoba",0
0,"22-02-2020","Manitoba",0
0,"23-02-2020","Manitoba",0
0,"24-02-2020","Manitoba",0
0,"25-02-2020","Manitoba",0
0,"26-02-2020","Manitoba",0
0,"27-02-2020","Manitoba",0
0,"28-02-2020","Manitoba",0
0,"29-02-2020","Manitoba",0
0,"01-03-2020","Manitoba",0
0,"02-03-2020","Manitoba",0
0,"03-03-2020","Manitoba",0
0,"04-03-2020","Manitoba",0
0,"05-03-2020","Manitoba",0
0,"06-03-2020","Manitoba",0
0,"07-03-2020","Manitoba",0
0,"08-03-2020","Manitoba",0
0,"09-03-2020","Manitoba",0
0,"10-03-2020","Manitoba",0
0,"11-03-2020","Manitoba",0
0,"12-03-2020","Manitoba",0
0,"13-03-2020","Manitoba",0
0,"14-03-2020","Manitoba",0
0,"15-03-2020","Manitoba",0
0,"16-03-2020","Manitoba",0
0,"17-03-2020","Manitoba",0
0,"18-03-2020","Manitoba",0
0,"19-03-2020","Manitoba",0
0,"20-03-2020","Manitoba",0
0,"21-03-2020","Manitoba",0
0,"22-03-2020","Manitoba",0
0,"23-03-2020","Manitoba",0
0,"24-03-2020","Manitoba",0
0,"25-03-2020","Manitoba",0
0,"26-03-2020","Manitoba",0
0,"27-03-2020","Manitoba",0
0,"28-03-2020","Manitoba",0
2,"29-03-2020","Manitoba",2
2,"30-03-2020","Manitoba",0
4,"31-03-2020","Manitoba",2
4,"01-04-2020","Manitoba",0
11,"02-04-2020","Manitoba",7
11,"03-04-2020","Manitoba",0
17,"04-04-2020","Manitoba",6
17,"05-04-2020","Manitoba",0
17,"06-04-2020","Manitoba",0
21,"07-04-2020","Manitoba",4
69,"08-04-2020","Manitoba",48
76,"09-04-2020","Manitoba",7
92,"10-04-2020","Manitoba",16
96,"11-04-2020","Manitoba",4
96,"12-04-2020","Manitoba",0
99,"13-04-2020","Manitoba",3
99,"14-04-2020","Manitoba",0
108,"15-04-2020","Manitoba",9
121,"16-04-2020","Manitoba",13
132,"17-04-2020","Manitoba",11
140,"18-04-2020","Manitoba",8
143,"19-04-2020","Manitoba",3
144,"20-04-2020","Manitoba",1
150,"21-04-2020","Manitoba",6
154,"22-04-2020","Manitoba",4
174,"23-04-2020","Manitoba",20
196,"24-04-2020","Manitoba",22
199,"25-04-2020","Manitoba",3
199,"26-04-2020","Manitoba",0
205,"27-04-2020","Manitoba",6
209,"28-04-2020","Manitoba",4
213,"29-04-2020","Manitoba",4
220,"30-04-2020","Manitoba",7
235,"01-05-2020","Manitoba",15
236,"02-05-2020","Manitoba",1
237,"03-05-2020","Manitoba",1
238,"04-05-2020","Manitoba",1
238,"05-05-2020","Manitoba",0
242,"06-05-2020","Manitoba",4
243,"07-05-2020","Manitoba",1
247,"08-05-2020","Manitoba",4
247,"09-05-2020","Manitoba",0
247,"10-05-2020","Manitoba",0
247,"11-05-2020","Manitoba",0
251,"12-05-2020","Manitoba",4
251,"13-05-2020","Manitoba",0
252,"14-05-2020","Manitoba",1
254,"15-05-2020","Manitoba",2
257,"16-05-2020","Manitoba",3
257,"17-05-2020","Manitoba",0
257,"18-05-2020","Manitoba",0
257,"19-05-2020","Manitoba",0
260,"20-05-2020","Manitoba",3
265,"21-05-2020","Manitoba",5
267,"22-05-2020","Manitoba",2
268,"23-05-2020","Manitoba",1
268,"24-05-2020","Manitoba",0
268,"25-05-2020","Manitoba",0
269,"26-05-2020","Manitoba",1
271,"27-05-2020","Manitoba",2
273,"28-05-2020","Manitoba",2
273,"29-05-2020","Manitoba",0
278,"30-05-2020","Manitoba",5
278,"31-05-2020","Manitoba",0
278,"01-06-2020","Manitoba",0
278,"02-06-2020","Manitoba",0
282,"03-06-2020","Manitoba",4
284,"04-06-2020","Manitoba",2
284,"05-06-2020","Manitoba",0
284,"06-06-2020","Manitoba",0
284,"07-06-2020","Manitoba",0
284,"08-06-2020","Manitoba",0
285,"09-06-2020","Manitoba",1
285,"10-06-2020","Manitoba",0
286,"11-06-2020","Manitoba",1
289,"12-06-2020","Manitoba",3
289,"13-06-2020","Manitoba",0
289,"14-06-2020","Manitoba",0
292,"15-06-2020","Manitoba",3
292,"16-06-2020","Manitoba",0
293,"17-06-2020","Manitoba",1
293,"18-06-2020","Manitoba",0
293,"19-06-2020","Manitoba",0
